,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
472,PT,PRI,GDL-00002,True,Alameda do Salgueiro,Grândola,PRT,7570-789,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:15:25Z,38.492475,-8.90061,PT*PRI*GDL*00002*2,GDL-00002-2,AVAILABLE,2021-05-10T14:42:13Z,GDL-00002-2-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
473,PT,KLC,GDL-00004,True,Rua Dom Nuno Alvares Pereira,Grândola,PRT,7570-239,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:37Z,38.185025,-8.568542,PT*KLC*GDL*00004*03,GDL-00004-03,AVAILABLE,2021-05-10T18:46:11Z,GDL-00004-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
474,PT,KLC,GDM-00003,True,Rua Infante Dom Henrique,Gondomar,PRT,4435-286,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:14:45Z,41.171396,-8.547406,PT*KLC*GDM*00003*03,GDM-00003-03,AVAILABLE,2021-05-11T09:44:34Z,GDM-00003-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,32,22000
475,PT,KLC,GDM-00004,True,Rua da Boavista,Gondomar,PRT,4435-030,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:36Z,41.175622,-8.556381,PT*KLC*GDM*00004*03,GDM-00004-03,AVAILABLE,2021-05-11T12:13:32Z,GDM-00004-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
476,PT,IBD,GDM-00005,True,Rua Joaquim Ribeiro,Gondomar,PRT,4510-506,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:15:24Z,41.168658,-8.54204,PT*IBD*GDM*00005*1,GDM-00005-1,AVAILABLE,2021-05-10T19:08:42Z,GDM-00005-1-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
477,PT,IBD,GDM-00006,True,Rua Joaquim Ribeiro,Gondomar,PRT,4510-506,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:14:13Z,41.168658,-8.54204,PT*IBD*GDM*00006*1,GDM-00006-1,AVAILABLE,2021-05-08T16:48:28Z,GDM-00006-1-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
478,PT,EDP,GDM-00007,True,Avenida Escritor Costa Barreto,Gondomar,PRT,4420-445,PARKING_LOT,Europe/Lisbon,MT,2021-04-21T16:56:18Z,41.1418787,-8.5735465,PT*EDP*GDM*00007*1,GDM-00007-1,UNKNOWN,2021-04-16T09:15:11Z,GDM-00007-1-1,IEC_62196_T2,SOCKET,AC_1_PHASE,230,32,7400
479,PT,EDP,GDM-00008,True,Avenida Escritor Costa Barreto,Gondomar,PRT,4420-445,PARKING_LOT,Europe/Lisbon,MT,2021-04-21T16:56:21Z,41.1418787,-8.5735465,PT*EDP*GDM*00008*1,GDM-00008-1,UNKNOWN,2021-04-16T09:25:06Z,GDM-00008-1-1,IEC_62196_T2,SOCKET,AC_1_PHASE,230,32,7400
480,PT,HRZ,GLG-90001,True,Largo da Imac. Conceição 47,Golegã,PRT,2150-125,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:15:05Z,39.401278,-8.486306,PT*HRZ*GLG*90001*2,GLG-90001-2,AVAILABLE,2021-05-11T04:24:32Z,GLG-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
481,PT,MOB,GMR-00001,True,Rua Condestável Nuno Álvares,Guimarães,PRT,4800-437,ON_STREET,Europe/Lisbon,BTN,2020-12-13T22:55:13Z,41.444836,-8.291587,PT*MOB*GMR*00001*2,GMR-00001-2,UNKNOWN,2019-11-10T13:35:41Z,GMR-00001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
